time	HR1	HR2	Resp1	Resp2	Study	Group	Trial	Condition
462204.5	0.029556137109305717	0.05649676158383619	-0.5882518161824369	0.35786901149096223	4	404	3	Synchronous
463204.5	0.06696546130285559	0.7162358243657538	-1.4688525602402411	0.35778504438471953	4	404	3	Synchronous
464204.5	-0.09811882640691638	0.5152165082385243	0.1313118441180546	0.5250451765209317	4	404	3	Synchronous
465204.5	0.3318158349217155	0.6182429602119046	0.9039401561345918	0.4946408839401476	4	404	3	Synchronous
466204.5	0.08690483864365145	-0.49194340727684555	1.230742371435069	0.4180374100954851	4	404	3	Synchronous
467204.5	-0.32672383895001544	-1.3697038251019333	0.20219191987037582	0.44208113717266684	4	404	3	Synchronous
468204.5	-0.8283588570490298	-2.2400325024669607	0.016018320020722353	-0.2536211858459192	4	404	3	Synchronous
469204.5	-0.990721283367621	-2.153384031275644	-0.7933855051141899	-1.476552548483543	4	404	3	Synchronous
470204.5	-0.47947559376994353	-1.631036810470641	-1.7714810086104116	-2.0871331888059803	4	404	3	Synchronous
471204.5	0.47575897926442556	-0.42347107421241925	1.2165792202005377	-0.2802219675766352	4	404	3	Synchronous
472204.5	0.8809571014559834	0.498611788214901	-0.32626608525700307	-1.8041760508754616	4	404	3	Synchronous
473204.5	0.7416089142839268	0.23713794673362001	-0.9396853161477425	-2.359650036660141	4	404	3	Synchronous
474204.5	-1.7556834558862033	0.09261066595480363	-1.7077852967742386	0.4604635457107884	4	404	3	Synchronous
475204.5	-1.4674596262834474	0.2697009776356174	-1.4097057439916365	0.1344421317338638	4	404	3	Synchronous
476204.5	-1.3310473014698423	-0.43207613578033216	-0.6630478143903481	-1.0083337963885926	4	404	3	Synchronous
477204.5	-1.056068178472505	-0.6043489777759417	0.5062538354500237	0.6322956915193585	4	404	3	Synchronous
478204.5	-0.08918778856607097	0.445625185114773	0.12822788609427185	0.9063161312243043	4	404	3	Synchronous
479204.5	0.26485273227896683	0.7133983158132624	0.11137796896212665	0.7057590794366815	4	404	3	Synchronous
480204.5	-0.1866448691865623	0.6982284373473507	-0.9341225461879872	0.2796805029111983	4	404	3	Synchronous
481204.5	-0.7195346276793475	0.9237510174568627	-1.2788832493393865	-0.4369283235845243	4	404	3	Synchronous
482204.5	-0.8821574639267917	0.9953784418515523	0.030837677175710048	0.044300364480286424	4	404	3	Synchronous
483204.5	-0.07459746429698526	1.4250622794762682	1.0346279077457612	0.6227599025845427	4	404	3	Synchronous
